ICL53F	4.0.2	Galaxy Nexus
ITL41F	4.0.1	Galaxy Nexus
ITL41D	4.0.1	Galaxy Nexus
ITL41D	4.0.1	Galaxy Nexus
GWK74	2.3.7	Nexus S 4G
GRK39F	2.3.6	Nexus One, Nexus S
GRK39C	2.3.6	Nexus S
GRJ90	2.3.5	Nexus S 4G
GRJ22	2.3.4	Nexus One, Nexus S, Nexus S 4G
GRJ06D	2.3.4	Nexus S 4G
GRI54	2.3.3	Nexus S
GRI40	2.3.3	Nexus One, Nexus S
GRH78C	2.3.2	Nexus S
GRH78	2.3.1	Nexus S
GRH55	2.3	Nexus S
FRG83G	2.2.2	Nexus One
FRG83D	2.2.1	Nexus One
FRG83	2.2.1	Nexus One
FRF91	2.2	Nexus One
FRF85B	2.2	Nexus One
EPE54B	2.1	Nexus One
ERE27	2.1	Nexus One
ERD79	2.1	Nexus One
